Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
28 NOV 2019,188,194,188,189.1,9,20615,3903620
27 NOV 2019,180,188,180,185,5,122,22598
26 NOV 2019,185,185,185,185,3,1000,185000
25 NOV 2019,185,185,185,185,6,425,78625
22 NOV 2019,188.1,188.1,185,185,7,675,126612.4
21 NOV 2019,189.9,190,189,189.9,5,5000,949450
20 NOV 2019,190,190,190,190,15,9000,1710000
19 NOV 2019,190,190,189.1,190,21,15696,2982234.6
18 NOV 2019,185.5,190.1,185.5,190.1,16,11127,2114623.5
15 NOV 2019,189.5,195,189.5,190.1,19,10981,2083906.4
14 NOV 2019,189,189.9,189,189.2,4,904,171004.5
13 NOV 2019,184.9,186,184.9,186,9,1652,306694.4
8 NOV 2019,184.9,184.9,180.5,184.5,21,2153,396874.5
7 NOV 2019,184,184.7,180,184.7,3,201,37050
6 NOV 2019,190,190,183.5,183.8,21,11463,2114142
5 NOV 2019,186,186,186,186,1,1,186
4 NOV 2019,190,190,186,186,8,8160,1518955
1 NOV 2019,198.9,198.9,190,190,16,12954,2461289.6
31 OCT 2019,184,190,183.9,184.1,14,2277,419214.9
30 OCT 2019,180.7,184,180,182.2,16,7900,1438541.7
29 OCT 2019,183,184,183,183.1,19,6439,1179500.5
28 OCT 2019,181.1,183,180.1,183,19,20002,3630669
25 OCT 2019,180,181.1,180,181.1,5,1800,324330
24 OCT 2019,181,183,175.6,182,15,8119,1467391.4
23 OCT 2019,179,180,177,180,19,2403,430169.8
22 OCT 2019,178,179,175,177,3,293,51847
21 OCT 2019,179,179,178.5,175.2,3,58,10357
18 OCT 2019,170,180,165.5,175.2,46,39956,6998053.1
17 OCT 2019,169.5,171,169.5,170.1,15,1088,185032.4
16 OCT 2019,162.6,162.6,162.6,162.6,2,54,8780.4
15 OCT 2019,162.5,165,162.5,162.6,4,265,43088.5
14 OCT 2019,159.5,162.4,159.5,162.3,36,4797,767941.4
11 OCT 2019,156.2,156.2,156.2,156.2,2,421,65760.2
10 OCT 2019,158.4,159.9,156,158.4,19,397,62896.2
9 OCT 2019,155.5,155.6,153,154,14,2688,414938.7
8 OCT 2019,153,155,153,153.6,8,830,127072.5
7 OCT 2019,153.8,153.8,150,150.2,2,1321,198416
4 OCT 2019,146.1,146.1,146.1,145.5,1,10,1461
3 OCT 2019,153.9,153.9,145.5,145.5,2,110,16089
27 SEP 2019,150,154,149.5,149.5,11,8411,1261215.5
24 SEP 2019,146.2,146.2,145,145.9,8,706,103002
20 SEP 2019,155.8,155.8,150,150.3,8,189,28433.2
19 SEP 2019,155.6,155.6,154,150,5,35,5438
18 SEP 2019,155.7,155.7,155.7,150,1,1,155.7
17 SEP 2019,150,156,150,150,3,56,8406
16 SEP 2019,150,150,150,150,3,130,19500
12 SEP 2019,150,150,146,147.6,2,167,24650
11 SEP 2019,149.9,150,149.9,150,2,133,19949.2
10 SEP 2019,149.9,149.9,145.2,145.3,11,5760,836896.2
9 SEP 2019,145,145,145,145,3,1733,251285
6 SEP 2019,145,147,144.6,145,6,673,97559
5 SEP 2019,149.7,150,149.7,144.5,4,67,10034.6
4 SEP 2019,149.8,149.8,140.3,144.5,3,2572,371988.1
3 SEP 2019,149.8,149.8,149.8,149.8,1,135,20223
30 AUG 2019,149.8,149.8,149.8,150,1,67,10036.6
29 AUG 2019,149.8,149.8,149.8,150,1,67,10036.6
28 AUG 2019,150,150,150,150,3,6067,910050
27 AUG 2019,149.8,150,149.8,150,13,13387,2007954.8
26 AUG 2019,149.9,149.9,149.8,149.6,2,68,10193.1
23 AUG 2019,150,150,148,149.6,3,167,25010
22 AUG 2019,150,150,150,150,1,67,10050
21 AUG 2019,150,150,150,150,2,567,85050
20 AUG 2019,149,149,149,149.3,4,92,13708
19 AUG 2019,148,150,147.5,149.3,11,2165,322005
16 AUG 2019,148.5,150,148.5,149.3,4,767,114513
15 AUG 2019,148.8,148.8,148.8,151,3,56,8332.8
13 AUG 2019,151,151,151,151,4,330,49830
9 AUG 2019,153.8,153.8,151,151.9,24,2810,429700.1
8 AUG 2019,148,155,148,148.8,15,1299,196202.6
7 AUG 2019,140,148,136,148,6,200,28683.1
6 AUG 2019,142,145,136,136.1,26,26475,3609109.4
5 AUG 2019,144,144,143.1,143.4,5,281,40294
2 AUG 2019,154,154,143.1,154,3,506,77912.6
1 AUG 2019,153.8,153.8,153,148.1,2,3,459.8
31 JUL 2019,148.5,148.5,148,148.1,3,1016,150428
30 JUL 2019,150,154,150,152.6,21,3801,582791.1
29 JUL 2019,145,149,142.1,148.9,8,6050,900056.2
26 JUL 2019,148,148,148,145.1,1,67,9916
24 JUL 2019,140.6,149,140.6,145.1,10,126,18288.2
23 JUL 2019,138,146,138,145.9,7,183,26575
22 JUL 2019,138,138,138,138,3,5,690
19 JUL 2019,138,138,138,138,4,472,65136
17 JUL 2019,134.5,146,134.5,136,19,283232,38290438
15 JUL 2019,134.5,134.5,134.5,134.5,4,500,67250
12 JUL 2019,134.5,134.5,134.5,134.5,2,300,40350
11 JUL 2019,135,135,135,135,1,148,19980
9 JUL 2019,136,136,136,136,2,77,10472
8 JUL 2019,136,136,136,136,1,73,9928
5 JUL 2019,136,136,136,136,2,174,23664
5 JUL 2019,136,136,136,136,2,174,23664
4 JUL 2019,135,135,135,128,3,74,9990
3 JUL 2019,135.8,135.9,135.8,128,3,74,10051.6
2 JUL 2019,133.8,134,133.8,128,3,75,10042.9
1 JUL 2019,130,130,128,128,13,10000,1284104
28 JUN 2019,131,131,130,130,9,1225,159252.2
26 JUN 2019,134,134,134,130.3,4,89,11926
25 JUN 2019,134,134,134,130.3,1,75,10050
24 JUN 2019,127.7,134,127.7,130.3,4,3559,463583
21 JUN 2019,134,134,134,134,1,400,53600
20 JUN 2019,133.9,134,133.9,134,3,76,10176.8
19 JUN 2019,133.9,133.9,127.6,134,4,78,10437.9
18 JUN 2019,135,135,134,134,4,675,90525
17 JUN 2019,135,135,135,136,2,76,10260
14 JUN 2019,136,136,136,136,2,347,47192
12 JUN 2019,136,136,135,135,4,10575,1428200
11 JUN 2019,136,136,136,135.9,2,75,10200
10 JUN 2019,136,136,136,135.9,2,78,10608
7 JUN 2019,135.9,135.9,135.9,135.9,2,79,10736.1
6 JUN 2019,135.9,135.9,135.9,135.9,1,74,10056.6
4 JUN 2019,136,136,136,135.9,1,74,10064
3 JUN 2019,135.9,135.9,135.9,135.9,1,220,29898
30 MAY 2019,136,136,136,136,5,5003,680408
29 MAY 2019,132,132,130.1,132,5,3043,398640
28 MAY 2019,132.5,132.5,130,132,15,4933,651191.5
27 MAY 2019,134,136,134,133,3,78,10458
24 MAY 2019,134,134,133,133,3,177,23618
23 MAY 2019,134,134,134,134,1,75,10050
22 MAY 2019,134,134,134,134,2,76,10184
21 MAY 2019,134,134,134,134,5,577,77318
17 MAY 2019,136,136,134,134,16,3086,415128
16 MAY 2019,134,136,134,135,14,2246,303636
15 MAY 2019,132,132,130,130.8,5,1793,234656
14 MAY 2019,133,135,133,132,2,74,9940
13 MAY 2019,133,133,133,132,1,75,9975
10 MAY 2019,132,133,132,132,2,76,10059
9 MAY 2019,132,132,132,132,1,151,19932
8 MAY 2019,130,130,130,132,1,50,6500
