"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2001","85.495","85.495","85.495","85.495","","0.00%"
"03/19/2001","85.495","85.495","85.495","85.495","","0.06%"
"03/16/2001","85.445","85.445","85.445","85.445","","0.32%"
"03/15/2001","85.175","85.175","85.175","85.175","","0.56%"
"03/14/2001","84.700","84.700","84.700","84.700","","0.41%"
"03/13/2001","84.350","84.350","84.350","84.350","","0.06%"
"03/12/2001","84.300","84.300","84.300","84.300","","0.06%"
"03/09/2001","84.250","84.250","84.250","84.250","","-1.00%"
"03/08/2001","85.100","85.100","85.100","85.100","","0.06%"
"03/07/2001","85.050","85.050","85.050","85.050","","0.06%"
"03/06/2001","85.000","85.000","85.000","85.000","","-1.73%"
"03/05/2001","86.500","86.500","86.500","86.500","","0.00%"
"03/02/2001","86.500","86.500","86.500","86.500","","1.23%"
"03/01/2001","85.450","85.450","85.450","85.450","","-1.21%"
"02/28/2001","86.500","86.500","86.500","86.500","","0.00%"
"02/27/2001","86.500","86.500","86.500","86.500","","1.06%"
"02/26/2001","85.590","85.590","85.590","85.590","","-1.05%"
"02/23/2001","86.500","86.500","86.500","86.500","","0.00%"
"02/22/2001","86.500","86.500","86.500","86.500","","1.72%"
"02/21/2001","85.040","85.040","85.040","85.040","","0.16%"
"02/20/2001","84.900","84.900","84.900","84.900","","-1.43%"
"02/19/2001","86.130","86.130","86.130","86.130","","-0.43%"
"02/16/2001","86.500","86.500","86.500","86.500","","0.93%"
"02/15/2001","85.700","85.700","85.700","85.700","","-0.92%"
"02/14/2001","86.500","86.500","86.500","86.500","","-0.57%"
"02/13/2001","87.000","87.000","87.000","87.000","","1.05%"
"02/12/2001","86.100","86.100","86.100","86.100","","-0.46%"
"02/09/2001","86.500","86.500","86.500","86.500","","-0.57%"
"02/08/2001","87.000","87.000","87.000","87.000","","0.00%"
"02/07/2001","87.000","87.000","87.000","87.000","","0.17%"
"02/06/2001","86.850","86.850","86.850","86.850","","-1.31%"
"02/05/2001","88.000","88.000","88.000","88.000","","0.00%"
"02/02/2001","88.000","88.000","88.000","88.000","","-2.11%"
"02/01/2001","89.900","89.900","89.900","89.900","","0.45%"
"01/31/2001","89.500","89.500","89.500","89.500","","0.11%"
"01/30/2001","89.400","89.400","89.400","89.400","","0.31%"
"01/29/2001","89.125","89.125","89.125","89.125","","-0.31%"
"01/26/2001","89.400","89.400","89.400","89.400","","-0.67%"
"01/24/2001","90.000","90.000","90.000","90.000","","1.98%"
"01/23/2001","88.250","88.250","88.250","88.250","","3.62%"
"01/22/2001","85.165","85.165","85.165","85.165","","0.11%"
"01/19/2001","85.075","85.075","85.075","85.075","","0.01%"
"01/18/2001","85.070","85.070","85.070","85.070","","0.13%"
"01/17/2001","84.960","84.960","84.960","84.960","","-0.01%"
"01/16/2001","84.965","84.965","84.965","84.965","","0.02%"
"01/15/2001","84.950","84.950","84.950","84.950","","0.00%"
"01/12/2001","84.950","84.950","84.950","84.950","","1.86%"
"01/11/2001","83.395","83.395","83.395","83.395","","0.54%"
"01/10/2001","82.950","82.950","82.950","82.950","","0.12%"
"01/09/2001","82.850","82.850","82.850","82.850","","-0.06%"
"01/08/2001","82.900","82.900","82.900","82.900","","-0.27%"
"01/05/2001","83.125","83.125","83.125","83.125","","0.51%"
"01/04/2001","82.700","82.700","82.700","82.700","","0.06%"
"01/03/2001","82.650","82.650","82.650","82.650","","0.12%"
"01/02/2001","82.550","82.550","82.550","82.550","","-0.18%"
"12/29/2000","82.700","82.700","82.700","82.700","","0.36%"
"12/28/2000","82.400","82.400","82.400","82.400","","0.00%"
"12/27/2000","82.400","82.400","82.400","82.400","","0.06%"
"12/26/2000","82.350","82.350","82.350","82.350","","0.24%"
"12/25/2000","82.150","82.150","82.150","82.150","","0.00%"
"12/22/2000","82.150","82.150","82.150","82.150","","-0.64%"
"12/21/2000","82.675","82.675","82.675","82.675","","-0.11%"
"12/20/2000","82.765","82.765","82.765","82.765","","0.11%"
"12/19/2000","82.675","82.675","82.675","82.675","","0.45%"
"12/18/2000","82.305","82.305","82.305","82.305","","0.01%"
"12/15/2000","82.300","82.300","82.300","82.300","","0.12%"
"12/14/2000","82.200","82.200","82.200","82.200","","0.06%"
"12/13/2000","82.150","82.150","82.150","82.150","","0.12%"
"12/12/2000","82.050","82.050","82.050","82.050","","0.00%"
"12/11/2000","82.050","82.050","82.050","82.050","","1.23%"
"12/08/2000","81.050","81.050","81.050","81.050","","0.00%"
"12/07/2000","81.050","81.050","81.050","81.050","","-0.12%"
"12/06/2000","81.150","81.150","81.150","81.150","","0.12%"
"12/05/2000","81.050","81.050","81.050","81.050","","0.00%"
"12/04/2000","81.050","81.050","81.050","81.050","","0.00%"
"12/01/2000","81.050","81.050","81.050","81.050","","-0.49%"
"11/30/2000","81.450","81.450","81.450","81.450","","0.37%"
"11/29/2000","81.150","81.150","81.150","81.150","","0.12%"
"11/28/2000","81.050","81.050","81.050","81.050","","0.12%"
"11/27/2000","80.950","80.950","80.950","80.950","","0.00%"
"11/24/2000","80.950","80.950","80.950","80.950","","-0.32%"
"11/23/2000","81.210","81.210","81.210","81.210","","0.32%"
"11/22/2000","80.950","80.950","80.950","80.950","","0.12%"
"11/21/2000","80.850","80.850","80.850","80.850","","0.25%"
"11/20/2000","80.650","80.650","80.650","80.650","","0.12%"
