Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
15 JUL 2024,299.5,300,295,295.5,28,670,198106.5
12 JUL 2024,299.75,299.75,299.75,299.75,5,460,137885
11 JUL 2024,300,300,295,295,16,9146,2718071
10 JUL 2024,296.5,300,296.5,300,6,1830,544558
9 JUL 2024,298,300,291,293.25,29,4747,1392459.25
8 JUL 2024,302,302,296.25,297,13,307,91401.25
5 JUL 2024,302,303,298.25,298.75,22,1544,462346.75
4 JUL 2024,307,307,298,299.75,31,2074,622480.25
3 JUL 2024,302.25,307.75,300,300.5,48,4681,1409358.5
2 JUL 2024,303.75,308.25,302.25,307.75,25,1566,475834.5
1 JUL 2024,308.5,308.5,304,304,20,3624,1102048.25
28 JUN 2024,304.25,308.5,304,304.75,13,1603,489789.75
27 JUN 2024,308.75,308.75,303.5,304,39,9736,2966657.25
26 JUN 2024,308,309,306,308.75,17,1701,522114.5
25 JUN 2024,309.5,309.75,306,306.25,14,1369,421169.5
24 JUN 2024,310.25,311.25,308.25,308.75,27,4600,1420914.25
20 JUN 2024,309,314.75,309,312.25,8,379,117996.75
19 JUN 2024,310,310,309,309,14,692,214096.25
18 JUN 2024,310.25,310.5,309.25,309.75,19,764,236882.25
14 JUN 2024,309.5,314,309.5,310.25,10,1889,587386
13 JUN 2024,308.25,314.75,308,308.25,15,3570,1100070.5
12 JUN 2024,317,317,308,308.75,45,14691,4561218.75
11 JUN 2024,309.75,318,308,317,48,27368,8473690.5
11 JUN 2024,309.75,318,308,317,48,27368,8473690.5
10 JUN 2024,318,318,310,310.75,23,1172,365742
7 JUN 2024,316,316.75,309,309.25,37,9210,2851719
6 JUN 2024,312,319,310.25,318.5,56,4528,1425061
5 JUN 2024,313.75,313.75,309,311.75,19,907,283537.75
4 JUN 2024,307.5,314.75,306.25,307,50,3661,1132753.75
3 JUN 2024,309.5,313.75,306.25,307,49,4325,1339390
31 MAY 2024,317,320.75,309,310.75,63,5262,1644619.75
30 MAY 2024,319,323,319,319.75,23,2852,918014.25
29 MAY 2024,319,323,318,320.5,27,1640,524329.75
28 MAY 2024,321,324,317,321,23,2753,882785
27 MAY 2024,320,329,319.5,321.25,33,2940,947933.75
22 MAY 2024,319.5,320,319.5,319.5,32,7330,2342869.25
21 MAY 2024,315,319,311,319,29,2947,928263.5
20 MAY 2024,322,322,304,311.75,87,14305,4436961.75
17 MAY 2024,326.75,328,321,327,41,4967,1620775.5
16 MAY 2024,334.5,334.5,323,327.75,38,7679,2492585.25
15 MAY 2024,327,333.75,324.25,326.75,62,12512,4077294
14 MAY 2024,331,334,324,325.5,50,5361,1750485.5
13 MAY 2024,336.75,337.25,327.25,329.5,37,7821,2582077.75
10 MAY 2024,338,339.5,335,335.5,39,6684,2256952
9 MAY 2024,332,342,324.75,336,84,52235,17489110.75
8 MAY 2024,329,335,325,331,39,9365,3114641.75
7 MAY 2024,332.75,334.5,329.5,331.5,36,22189,7344884
6 MAY 2024,330,334.5,327,330,36,5957,1957308
3 MAY 2024,329.25,334.5,329.25,331.5,32,6746,2234703.25
2 MAY 2024,345,345,333,333,56,10503,3519575.25
30 APR 2024,334.75,347.75,327,339.25,114,24296,8221241.25
29 APR 2024,333,337,330,333,45,12424,4133274.75
26 APR 2024,327.5,340,327.5,334,100,49960,16671261.75
25 APR 2024,330,335,327.25,328,76,13955,4593150
24 APR 2024,314.5,330,314.5,326,231,66619,21526641.75
22 APR 2024,309.5,314.5,306,313.25,80,12832,4017655
19 APR 2024,300,314.5,297.5,309.5,102,32719,9963697.5
18 APR 2024,309,309,300,301.5,50,41858,12745080.5
17 APR 2024,300.75,314.5,292.75,303.75,107,55430,16818977
16 APR 2024,312,314.75,299,300.75,302,68674,20924950.75
15 APR 2024,300,319.5,300,316.25,147,23172,7207067
10 APR 2024,297,306,297,303.25,171,28697,8644506
9 APR 2024,289,297,282.75,295,80,9953,2894872
8 APR 2024,284.75,288,280,287.25,61,7962,2280236.5
5 APR 2024,286.25,286.25,280,282,24,1737,488826
4 APR 2024,284,285.75,279,280,41,9705,2732656.25
3 APR 2024,284,285.75,280,284,52,4380,1245098
2 APR 2024,282.5,284,280,281.75,37,10362,2920958
1 APR 2024,282.75,282.75,277,279.25,24,880,245582.5
28 MAR 2024,279.75,284,277.5,280,41,6633,1870600.5
27 MAR 2024,282,283.75,274,279.75,37,1073,298128.75
26 MAR 2024,279.5,284,274,275.25,27,1030,287822.5
25 MAR 2024,278.75,279.5,271,277,24,1293,358402.5
22 MAR 2024,271,279,266.5,275.75,50,5451,1477487
21 MAR 2024,273.5,277.75,265.25,269,70,23900,6406170.25
20 MAR 2024,278.75,279.75,274,278,12,2988,830663.5
19 MAR 2024,282,282,274,279.5,4,1109,310080
18 MAR 2024,278.5,286,275,281.25,51,9258,2612872.5
15 MAR 2024,283.5,283.5,276,278.5,24,4153,1158288.5
14 MAR 2024,269,285,265.25,279,100,13660,3794241.75
13 MAR 2024,272,272,265,267.25,26,5079,1362139.5
12 MAR 2024,273,273,262.25,268.25,12,1020,272268.75
11 MAR 2024,274,274.5,261,268,66,11319,3043896.75
7 MAR 2024,274.5,274.5,270,272,31,2875,784297
6 MAR 2024,272.5,275,263,274.25,45,3754,1022767.25
5 MAR 2024,275,277.25,266,268,20,3380,904807.75
4 MAR 2024,267.5,278,260,267.25,110,7075,1906228.5
1 MAR 2024,262.5,269,248,252.5,35,1126,285139.25
29 FEB 2024,260,269,259.5,267,63,4927,1303127
28 FEB 2024,244.5,262,241,250.25,122,24232,6055139.25
27 FEB 2024,241,245,239,239.25,49,3477,834277
26 FEB 2024,245,246,241,241.5,21,2225,536953.25
22 FEB 2024,246,246,245,245,10,545,133735
21 FEB 2024,246.75,247,241,246,14,1947,477147.75
20 FEB 2024,246.75,246.75,240,246.75,11,134,32882
19 FEB 2024,240,246.75,240,244.25,18,617,149601.75
16 FEB 2024,240,242,239.25,239.5,17,2193,525210.25
15 FEB 2024,243.75,247.5,239,240,57,11508,2800699.75
14 FEB 2024,247,247,238,238.5,30,662,158332
13 FEB 2024,248,248,245,245.75,18,1119,276711
12 FEB 2024,249.75,249.75,242,247.75,10,427,105803.25
9 FEB 2024,249.75,249.75,240,240.75,20,841,202497.75
8 FEB 2024,243.75,245,241.25,245,41,8829,2161453.5
7 FEB 2024,253,254,241.5,242.5,39,1823,451110.25
6 FEB 2024,240,254,240,242.5,47,4118,1023004
2 FEB 2024,229.25,235,228.75,229.75,31,6367,1460113
1 FEB 2024,230,230,228.75,229.75,52,13878,3189253.25
31 JAN 2024,230,230,229,230,31,8302,1908465
30 JAN 2024,235,235,230,230,75,12129,2810130.5
29 JAN 2024,238.75,238.75,233,234.25,22,6285,1474580
26 JAN 2024,235,238.75,232,237.5,19,5821,1381304.75
24 JAN 2024,235.5,235.5,226,235,46,10132,2367719.25
23 JAN 2024,241,241,225,236,59,6239,1476485.75
22 JAN 2024,243.75,246.5,240.25,240.25,19,2953,710622.5
19 JAN 2024,246.75,246.75,240.25,244,4,330,80602.5
18 JAN 2024,243.25,247,240,241,30,6012,1450751
17 JAN 2024,246.75,250,243.25,243.25,17,1673,407080.25
16 JAN 2024,247,247,243,243,15,5946,1454573
12 JAN 2024,252,252,252,244.25,2,4,1008
11 JAN 2024,252.5,252.5,243.5,244.25,20,501,122313.25
10 JAN 2024,245,254,244.5,247,20,2544,625830.25
9 JAN 2024,254,254,243.25,244.75,29,1549,380322
8 JAN 2024,250.25,255,250,251.25,13,782,195884.75
5 JAN 2024,255.75,255.75,255,249.5,4,49,12514.75
4 JAN 2024,255.75,255.75,249,249.5,7,246,61414.75
3 JAN 2024,257.5,257.5,249,251.5,24,867,217853.25
2 JAN 2024,251.75,258,248,248.25,34,6684,1662715
29 DEC 2023,251.75,251.75,243,244,58,12105,2951285.25
28 DEC 2023,251.75,256.25,243,245.25,43,4767,1175942.25
27 DEC 2023,244.25,252,243,247,35,1882,458785
22 DEC 2023,255.75,255.75,243,244.5,68,3187,785624
21 DEC 2023,255,258,249,249.75,27,1703,427178.25
20 DEC 2023,256,256,250,250,39,6277,1570638.75
19 DEC 2023,260,261.5,256,256.25,10,256,66180.5
18 DEC 2023,260,260,250,250.5,19,2027,508512
15 DEC 2023,258.5,263,255,256.5,15,1443,368482
14 DEC 2023,255.75,264,255,255,12,3063,781616.25
13 DEC 2023,260,260.5,255.25,260,12,1181,306820.75
12 DEC 2023,256,260,255.25,260,23,6188,1608381.5
11 DEC 2023,260,260,256,258.25,14,1316,341832
8 DEC 2023,252,259,252,251,4,57,14556
7 DEC 2023,257,261,250,251,27,1651,417647.75
6 DEC 2023,258,260,256.5,257.75,9,195,50251.5
5 DEC 2023,260.5,260.75,256.5,258.25,12,1040,268696.5
4 DEC 2023,260,260,259,260,5,220,57180
1 DEC 2023,256,262,254,255.5,12,191,48785
30 NOV 2023,262,262.25,255,256.75,8,236,60670.5
29 NOV 2023,260,260,253.25,254,19,4781,1214547.5
28 NOV 2023,252.25,259.75,250,251.75,19,1326,333877.25
27 NOV 2023,263,263,257.25,257.25,22,4183,1078840
24 NOV 2023,260,263.5,258.5,259.5,10,490,127765.75
23 NOV 2023,260,263,259,259.25,8,445,115546
22 NOV 2023,260,263,257.25,257.25,9,1118,287635.75
21 NOV 2023,255,261,251.25,258.25,61,7101,1813899.75
20 NOV 2023,257.5,257.5,255,255.25,11,2635,673935
17 NOV 2023,260,260,253,254.25,22,1775,452277.25
16 NOV 2023,257.75,266,253.75,255.25,34,3543,903526
15 NOV 2023,268.5,268.5,258,259.75,19,3207,828417.5
14 NOV 2023,264.75,264.75,256.25,260.25,17,2055,533396.5
13 NOV 2023,264.75,264.75,255,255,54,15967,4078869.75
10 NOV 2023,260.75,270,257,260.5,38,5423,1412332
9 NOV 2023,260.5,269,260.25,260.5,4,131,34141.25
8 NOV 2023,268.5,279,260,262,112,23339,6165578.25
7 NOV 2023,258.5,260,256,260,23,832,215840.75
6 NOV 2023,259,283.5,258.25,259.5,13,190,49301.25
3 NOV 2023,260,262,258,258.5,17,1612,418830.25
2 NOV 2023,263,285,255,259,74,22757,5897053.5
1 NOV 2023,256,258.75,254.25,258,17,1355,348777
31 OCT 2023,261.75,261.75,254,254.5,17,322,81989.25
27 OCT 2023,254,262,254,262,10,1111,289020.25
26 OCT 2023,259,260,251,251.75,50,9836,2493176.25
25 OCT 2023,264.75,264.75,257,257.25,39,7002,1808524.5
24 OCT 2023,262,264.75,261.25,264.5,9,1102,291223.75
23 OCT 2023,268.75,273,260,261,25,1568,409942
20 OCT 2023,269,269,260,265,22,2676,705915.25
19 OCT 2023,260.5,267,255,255.5,44,4544,1167986
18 OCT 2023,264,270,260,261,47,3138,823140.25
17 OCT 2023,265,266,264,265,14,1535,406894.75
